"Link Immagine";"Opera";"Località";"Ubicazione";"Anno collocamento";
"100|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/100.pdf";"Medaglia Argento al Comune di Cesena";"CESENA";"Piazza del Popolo - loggiato com.le (cv. 8)";1.975;
"101|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/101.pdf";"Lapide a Elmo Simoncini";"CESENA";"Corso Cavour (cv. 34)";1.979;
"102|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/102.pdf";"Monumento ai Caduti delle due Guerre";"S. ANDREA IN BAGNOLO";"Via Chiesa di S. Andrea in B. - c/o parco Chiesa";1.982;
"103|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/103.pdf";"Scultura di Luigi Gobbi";"VILLA CHIAVICHE";"Via Cervese angolo via Asiago";1.982;
"104|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/104.pdf";"Monumento a Stelio Brunelli";"PONTE ABBADESSE";"Via Sorrivoli (cv. 585)";1.983;
"105|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/105.pdf";"Lapide a Giovanni Merloni";"CESENA";"Piazza del Popolo - loggiato com.le (cv. 7)";1.986;
"106|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/106.pdf";"Lapide al Circolo Goliardico Cesenate";"CESENA";"Viale Carducci - c/o mura giardinetto Savelli";1.986;
"107|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/107.pdf";"Lapide a Luigi Gobbi";"VILLA CHIAVICHE";"Via Cervese angolo via Asiago";1.987;
"108|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/108.pdf";"Lapide di A.Spallicci";"PONTE ABBADESSE";"Via Ponte Abbadesse (cv. 581)";1.991;
"109|https://servizi.comune.cesena.fc.it/applicazioniweb/docmoka/monumenti/109.pdf";"Lapide ai Ragazzi del 99";"CESENA";"Via Mulini - Giardino c/o mura ex Macello";1.992;
