"Nomi maschili";"Nomi femminili";"numero attribuzioni maschili";"numero attribuzioni femminili";
"";"";;;
"";"VICTORIA DIMOVA";;1;
"";"VIRGINIA";;1;
"";"VITTORIA ALMA";;1;
"";"WONDERS UYIOGHOSA";;1;
"";"XHENSILA";;1;
"";"YASMIN";;1;
"";"YASSINE";;1;
"";"YOSSRA";;1;
"";"YULIA";;1;
"";"ZANNAT TASNEE";;1;
"ABDERRAHMAN";"ADELINA";1;1;
"ACHILLE";"AGNESE";1;1;
"ACHRAF";"AIDA";1;1;
"ADAM";"AISSATOU";1;1;
"ADEL";"ALBA";1;1;
"AGOSTINO";"ALESSIANDREA";1;1;
"AIMUANMWOSA GEORGE";"ALEXANDRA";1;1;
"ALBERTO";"GINEVRA";3;3;
"ALEN";"ALINA";1;1;
"ALESSANDRO";"MARGHERITA";7;5;
"ALESSIO";"AGATA";2;2;
"ALEX";"AMELIA";2;2;
"AL HIJAZI";"ALIKA";1;1;
"AMIR";"ALLEGRA";1;1;
"AMJAD";"ALYSSA";1;1;
"ANDREA";"ANITA";12;14;
"ANGELO";"AMIRA";2;2;
"ANTONIO";"AMANDA";1;1;
"ANTONIO NICHOLAS";"AMINATA";1;1;
"ARIYAN";"ANASTACIA OYEMWENOS";1;1;
"ARON";"ANASTASIA";1;1;
"ASCANIO";"ANGELICA";1;1;
"ASLAM";"ANGELINA";1;1;
"AYOUB SAFA";"ANJA";1;1;
"BENIAMINO";"ANTONIA RAISA";1;1;
"BILAL";"ANTONIA VALENTINA";1;1;
"BRAYAN ROBERTO";"ARAM";1;1;
"BRYAN ETINOSA";"ARIANA";1;1;
"CARLO";"ASHLEY ALLISON";1;1;
"CESARE";"ASSYA";1;1;
"CHIBUNDU";"ASYA";1;1;
"CHRISTIAN";"ASIA";2;2;
"CHRISTIAN CARLO";"AURORA";2;2;
"COSIMO";"ATHENA";1;1;
"CRISTIAN";"AYA";1;1;
"CRISTIANO";"BENEDETTA";1;1;
"DAMIANO";"BINTE RAMISA";1;1;
"DANIEL";"CHIARA";2;2;
"DARIO";"CATERINA";5;4;
"DAVIDE";"MARTINA";4;4;
"DAVID OSAHENRUN";"BOUCHRA SARA KHAOUL";1;1;
"DAWID WILIAM";"CAMILLA";1;1;
"DIEGO";"BIANCA";8;6;
"DYLAN";"CLOE";2;2;
"EDOARDO";"MATILDE";4;4;
"EDOARDO ASHANTI";"CAMILLA EDITH";1;1;
"EDUARD RARES";"CARLA";1;1;
"ELIA";"GIOIA";3;3;
"EMANUELE";"CARLOTTA";1;1;
"ENDRI";"CAROLINA";1;1;
"ENEA";"DILETTA";2;2;
"ENEA MARIAN";"CECILIA";1;1;
"ENZO";"CELESTE";1;1;
"EUGENIO";"CHAHD";1;1;
"FABIO";"GIORGIA";3;3;
"FAHD";"CHLOE'";1;1;
"FARHAN";"CLOE'";1;1;
"FEDERICO";"GIULIA";9;7;
"FEDI";"CRISTAL";1;1;
"FILIPPO";"NICOLE";8;6;
"FRANCESCO";"ANNA";11;9;
"FREDERICK ETINOSA";"DALIA";1;1;
"GABRIEL";"ELEONORA";2;2;
"GABRIELE";"GRETA";3;3;
"GIACOMO";"FRANCESCA";5;4;
"GIANMARCO";"DOHA";1;1;
"GIANMARIA";"DORA";1;1;
"GIOELE";"ELISA";1;1;
"GIORGIO";"ELISABETTA";1;1;
"GIOVANNI";"EVA";2;2;
"GIOVANNI PAOLO";"EMILY";1;1;
"GIULIO";"OLIVIA";4;4;
"GIUSEPPE";"LIA";3;3;
"GREGORIO";"EMMA GIULIA";1;1;
"GUGLIELMO";"ESOSA SABRINA";1;1;
"GUIDO";"FATIMA";1;1;
"ILYAS";"INES";2;2;
"IORIS";"FATIMA ZAHARA";1;1;
"ISAAC";"FATIMATOU KINDI";1;1;
"ISHAK";"FEDERICA";1;1;
"IVAN SLAVOV";"FLAVIA";1;1;
"IVAN VASILEV";"FRANCESCA BERNADETT";1;1;
"JACOPO";"ISABEL";2;2;
"JARI";"FRIDA";1;1;
"JEFFRI";"GEA";1;1;
"JESAHEL";"GEMMA";1;1;
"JUDE ORINAMI";"GLORIA";1;1;
"JURI";"GRACE";1;1;
"KIMI YI HAN";"HANNAH ONOSETALE";1;1;
"LEANDRO";"HEVELYN";1;1;
"LEO";"HIBA";1;1;
"LEONARDO";"SOFIA";19;20;
"LIAM";"ILARIA";1;1;
"LIBERO";"ILENIA";1;1;
"LORENZO";"BEATRICE";9;6;
"LUCA";"SARA";6;5;
"LUCAS";"JASMINE";2;2;
"LUIGI DANIEL";"IMANE";1;1;
"MAHID MOHAMMED";"ISABELLA";1;1;
"MAICOL";"IZABELA";1;1;
"MANUEL";"ALESSIA";4;3;
"MARCO";"ARIANNA";4;3;
"MARCO ANDREI";"JAELA";1;1;
"MARTIN";"KEIRA";1;1;
"MARTINO";"KENZA";1;1;
"MARVELOUS OSAIGBOVO";"KLARISSA";1;1;
"MASSIMILIANO";"LAILA";1;1;
"MATHIAS";"LETIZIA";2;2;
"MATIAS";"LAURA";1;1;
"MATIAS DAVIDE JUNIO";"LAVINIA";1;1;
"MATTEO";"EMMA";11;9;
"MATTIA";"VITTORIA";6;5;
"MATTIA ARMANDO";"LEA";1;1;
"MATTIA LUCA";"LENA";1;1;
"MAVIS CHIMUEMEZUGO";"LILIA";1;1;
"MD SABIR";"LINA";1;1;
"MICHELE";"ELENA";4;3;
"MIRCO";"LISA";1;1;
"MIRKO";"LORELEI";1;1;
"MOHAMED";"LINDA";2;2;
"MOHAMED AMINE";"LUCE";1;1;
"MOHAMED YAHYA";"LUISA";1;1;
"MOHAMMED";"MAILA";1;1;
"MOUHAMADOU";"MALAK";1;1;
"MOUHAMED";"MANAR";1;1;
"NATHAN";"MARIA CELESTE";1;1;
"NEBIR";"MARIA CHIARA";1;1;
"NGOZICHUKWU VIRTUOU";"MARIAGRAZIA";1;1;
"NICHOLAS";"MASHA";1;1;
"NICOLA";"MARTA";3;3;
"NICOLAS";"MAYA ANASTASIA";1;1;
"NICOLO'";"MIA";7;5;
"NIKOLAS";"MAYSSA";1;1;
"NINO EDOARDO";"MICHELA";1;1;
"NOAH";"ZOE";3;3;
"NOEL";"MILENA";1;1;
"NOYON";"MINA PETRA";1;1;
"OLMO";"MIRELLA";1;1;
"PENKO VASILEV";"NADIA";1;1;
"PIETRO";"GAIA";4;3;
"PRINCE AYMERIC";"NEELA";1;1;
"RAED";"NIMELDA";1;1;
"RAFFAELE";"NINA ALEKSANDROVA";1;1;
"RARES-OCTAVIAN";"NOEMI";1;1;
"RICCARDO";"ALICE";6;4;
"RICKEY OSAZUWA";"NORA";1;1;
"RJAN";"NOUR";1;1;
"ROBERT DANIEL";"OGHOSASERE EMANUELA";1;1;
"ROBERTO";"OLIMPIA";1;1;
"ROCCO";"OLIWIA";1;1;
"ROMEO";"PENELOPE";1;1;
"ROMEO KONDRATII";"PRECIOUS OLUEBUBE";1;1;
"SAIMON";"RAZAN";1;1;
"SALIM";"REBECCA";1;1;
"SAMI";"LUCIA";2;2;
"SAMUEL";"MARIASOLE";2;2;
"SAMUELE";"MAYA";2;2;
"SEBASTIAN";"REINA";1;1;
"SEBASTIANO";"GIADA";4;3;
"SIMONE";"SONDOS";2;2;
"SIRIO";"ROMINA";1;1;
"STEFANO";"ADELE";3;2;
"THOMAS";"RUSLANA IVANOVA";1;1;
"TOBIAS";"SILVIA";1;1;
"TOMMASO";"VIOLA";10;8;
"VALENTINO";"SOLE";1;1;
"VITTORIO";"SOPHIA";1;1;
"VLAD COSTIN";"SOWA";1;1;
"VLADIMIR";"STELLA";1;1;
"WESLY";"STELLA MARINOVA";1;1;
"WIKTOR";"SUSANNA";1;1;
"YAHIA";"SVEVA";1;1;
"YONAS";"TEODORA";1;1;
"YOUNES";"TRINITY OGHOSA";1;1;
"YOUSSEF";"UMAIRA";1;1;
"YUANXUAN PAOLO";"VALENTINA";1;1;
