gid;OBJECTID;LOCALITA_;VIA;CIVICO;TELEFONO;TITOLARE;LETTERA;TIPOLOGIA;Latitudine;Longitudine
1;30;SAN BARTOLO;VIA SERRA RENATO;1;;CEDIOLI MARINA;A;CHIOSCO;44.1413981541496;12.2482164468557
2;31;CALABRINA;VIA MARIANA;4460;547692034;GRIFFI MARTA;;CHIOSCO;44.1826920612905;12.2981849371225
3;32;IPPODROMO;VLE MATTEOTTI GIACOMO;401;;CHIOSCO MATTEOTTI DI LUCA MALVISI E C. S.N.C.;;CHIOSCO;44.1406234712569;12.2296828105275
4;33;SAN VITTORE;VIA ZAMBONI GUELFO;15;3405771814;QUATTRO MORI DI VERONESE SERENA  & C. SAS;;CHIOSCO;44.1113744076799;12.2002169643932
5;34;PONTE PIETRA;VIA CESENATICO;1777;;LA PORTA RITA;;CHIOSCO;44.1406906248987;12.2887110180863
6;35;SANT'EGIDIO;VIA CHIESA S.EGIDIO;31;;MICCOLI  DANIELA;;CHIOSCO;44.1540016285517;12.2630651886994
7;36;STADIO;VIA TOSCANA;265;3479708788;NDREGJONI ADRIANO;;CHIOSCO;44.1398963722602;12.2603473783736
8;37;CALISESE;VIA MALANOTTE;180;;GUIDI MAURIZIO;;CHIOSCO;44.1010044875977;12.3039981083278
9;38;VIGNE;VIA MADONNA DELLO SCHIOPPO;710;;CELLINI FABRIZIO;;CHIOSCO;44.1513160480493;12.2515849308301
10;39;MACERONE;VIA 18 AGOSTO 1944;490;;RICCI FRANCESCO;;CHIOSCO;44.1568882790122;12.3345252354725
11;40;IPPODROMO;VIA FAUSTO COPPI;650;;MOVIDA SNC DI TRASCHITTI VITO & C.;;CHIOSCO;44.1502940888921;12.2269422652171
12;41;EX ZUCCHERIFICIO;VIA CALVINO ITALO;37;;IL CHIOSCHETTO DI GARDELLI STEFANIA;;CHIOSCO;44.1439045475374;12.2373832173547
13;42;VIGNE;VIA ASCARI ALBERTO;70;;LA PIDA DALLA FRANCY DI FELLINI FRANCESCA;;CHIOSCO;44.1562366354662;12.2413230716805
14;43;CASE FINALI;VIA FIORENZUOLA;1250;;E CHIUSCHET DI DANESI CHIARA & PLACUCCI ALBERTO;;CHIOSCO;44.1316528126148;12.2677555310875
15;44;CASE FRINI;VIA AMBROSOLI GIORGIO;280;3454656855;FATA PIADA DI ZANOTTI DANIELE;;CHIOSCO;44.1424900107313;12.2708107769741
16;45;GALLO;VIA GALLO;797;3299306761;CHIOSCOMANIA DI FABBRI FRANCESCA;;CHIOSCO;44.0588548075415;12.1808823098186
17;46;SANT'EGIDIO;PLE BERLINGUER ENRICO;130;3383585111;LA PIADINA DI SIMONA & MARTELLI GABRIELE SNC;;CHIOSCO;44.1505785853455;12.2599896432002
18;47;BORELLO;PZA SAN PIETRO IN SOLFRINO;3;;FACCIANI MELANIA;;CHIOSCO;44.0535023613532;12.1784745498911
19;48;PONTE ABBADESSE;VIA PADRE GIOVANNI GENOCCHI;485;547380574;ZANELLI TIZIANA;;CHIOSCO;44.1265860621074;12.244666522106
20;49;CASE MISSIROLI;VIA EMILIA LEVANTE;4227;54758195;PIADINA DELLA TALA DI BERNABINI GINO;;CHIOSCO;44.1109430150004;12.3149733724384
21;50;BORGO PAGLIA;VIA ROMEA;2760;3495546093;BABBI BARBARA;;CHIOSCO;44.1208826906121;12.2095021811494
22;51;VILLA CHIAVICHE;VIA CERVESE;3723;;IL POSTICINO SNC DI GIUNCHI SARA C.;;CHIOSCO;44.1694123840705;12.2821916369148
23;52;MARTORANO;VIA RAVENNATE;2045;;BURATTI PATRIZIA E BURATTI MONICA SNC;;CHIOSCO;44.1659968236252;12.2432461164343
